Income,Response,Age,relationship,Education_Level,members_home,AcceptedCmp,num_purchases,expenses
65031.0,0,65,in_relationship,Graduate,2,0,30,656
60631.0,0,49,in_relationship,Postgraduate,3,0,24,636
28332.0,0,72,in_relationship,Graduate,1,0,8,37
40246.0,0,47,single,Graduate,1,0,4,9
75251.0,1,52,in_relationship,Postgraduate,1,0,19,1757
75825.0,1,48,single,Graduate,0,1,22,1916
26326.0,0,48,in_relationship,Undergraduate,1,0,4,6
56046.0,1,59,in_relationship,Graduate,1,1,21,641
29760.0,0,39,single,Graduate,1,0,12,136
26304.0,0,55,in_relationship,Graduate,2,0,4,10
23559.0,0,51,in_relationship,Undergraduate,2,0,9,49
38620.0,0,61,in_relationship,Postgraduate,1,0,11,173
81361.0,0,37,single,Graduate,0,0,27,610
29440.0,0,64,in_relationship,Graduate,3,0,7,39
36138.0,0,54,in_relationship,Postgraduate,3,0,13,146
50388.0,1,67,single,Graduate,1,1,17,335
79593.0,0,51,in_relationship,Graduate,1,0,19,978
54178.0,0,57,in_relationship,Graduate,2,0,10,183
42394.0,0,52,single,Postgraduate,1,0,5,27
23626.0,0,54,in_relationship,Postgraduate,2,0,10,43
30096.0,0,41,in_relationship,Graduate,2,0,6,19
47916.0,0,64,single,Graduate,1,0,22,531
51813.0,0,52,single,Graduate,2,0,7,60
78497.0,0,73,in_relationship,Undergraduate,1,1,25,680
50150.0,0,41,in_relationship,Postgraduate,1,0,16,273
47823.0,0,64,single,Undergraduate,1,0,7,59
34554.0,0,65,single,Postgraduate,1,0,7,48
85693.0,0,45,in_relationship,Graduate,2,0,27,741
65846.0,0,79,in_relationship,Postgraduate,1,0,16,919
87195.0,1,65,in_relationship,Graduate,1,0,20,983
24594.0,0,45,in_relationship,Undergraduate,2,0,5,10
49096.0,0,60,in_relationship,Graduate,3,0,13,177
52413.0,0,55,in_relationship,Graduate,3,0,26,672
38557.0,0,46,single,Graduate,1,0,9,110
89058.0,0,64,in_relationship,Postgraduate,1,0,14,754
77298.0,0,45,in_relationship,Graduate,2,0,24,832
68126.0,1,33,single,Postgraduate,0,0,17,1660
57288.0,0,61,in_relationship,Postgraduate,2,0,20,548
86037.0,1,33,single,Graduate,0,0,25,659
43974.0,0,44,in_relationship,Postgraduate,2,0,21,479
50785.0,0,62,single,Graduate,2,0,8,86
90765.0,0,54,in_relationship,Graduate,1,1,15,1458
36550.0,0,46,in_relationship,Undergraduate,2,0,20,231
30753.0,0,57,in_relationship,Undergraduate,3,0,7,42
21918.0,0,55,in_relationship,Graduate,2,0,7,14
56129.0,0,71,in_relationship,Postgraduate,2,0,22,501
32557.0,1,57,single,Postgraduate,1,0,9,66
19510.0,0,39,in_relationship,Postgraduate,3,0,6,16
30992.0,0,48,single,Graduate,1,0,5,31
101970.0,1,41,single,Graduate,0,1,27,851
71488.0,0,59,in_relationship,Undergraduate,1,0,16,319
79607.0,1,40,single,Graduate,0,0,16,1534
54348.0,0,71,in_relationship,Postgraduate,3,0,8,86
77376.0,0,68,in_relationship,Postgraduate,3,0,23,621
62998.0,0,72,in_relationship,Graduate,2,0,19,251
61331.0,0,66,single,Postgraduate,2,0,23,586
73448.0,0,55,in_relationship,Graduate,1,0,19,531
41551.0,0,60,in_relationship,Postgraduate,3,0,16,253
62981.0,0,57,in_relationship,Postgraduate,1,0,23,1400
9548.0,0,48,single,Undergraduate,1,0,6,4
33762.0,0,65,in_relationship,Postgraduate,4,0,9,88
35860.0,1,51,single,Postgraduate,2,1,6,23
36921.0,0,59,single,Postgraduate,2,0,7,30
92859.0,0,32,single,Postgraduate,0,0,22,1944
65104.0,1,48,in_relationship,Postgraduate,2,0,17,970
86111.0,0,62,in_relationship,Graduate,1,0,23,1183
68352.0,0,50,single,Postgraduate,1,0,25,762
41883.0,0,36,in_relationship,Graduate,2,0,12,107
59809.0,0,48,in_relationship,Graduate,3,0,15,755
23957.0,1,49,in_relationship,Graduate,2,0,6,21
38547.0,0,43,in_relationship,Graduate,2,0,4,17
35688.0,0,51,in_relationship,Undergraduate,4,0,16,166
49605.0,0,58,in_relationship,Postgraduate,1,0,8,87
59354.0,0,71,in_relationship,Postgraduate,3,0,16,394
65747.0,0,55,in_relationship,Graduate,2,0,19,411
46344.0,0,52,in_relationship,Undergraduate,2,0,17,310
34176.0,0,36,single,Graduate,1,0,11,36
61010.0,0,72,in_relationship,Postgraduate,2,0,26,945
69372.0,1,75,in_relationship,Graduate,1,0,21,1292
49967.0,0,66,single,Graduate,1,0,15,287
60199.0,0,46,single,Graduate,3,0,4,16
55375.0,0,47,in_relationship,Graduate,2,0,9,110
80317.0,0,69,single,Graduate,0,0,18,934
30523.0,0,66,single,Postgraduate,3,0,4,8
70356.0,0,79,in_relationship,Postgraduate,1,0,27,1614
23228.0,0,40,in_relationship,Graduate,2,0,11,105
74165.0,0,49,single,Postgraduate,0,0,20,1253
157243.0,0,51,in_relationship,Postgraduate,2,0,37,1604
43482.0,0,58,in_relationship,Graduate,4,0,9,51
62551.0,0,71,single,Graduate,0,1,18,239
52332.0,0,65,single,Graduate,0,0,12,250
66951.0,0,36,single,Graduate,0,0,15,744
26091.0,0,67,in_relationship,Graduate,3,0,9,44
33456.0,0,59,in_relationship,Graduate,3,0,6,20
28718.0,0,42,in_relationship,Graduate,2,0,7,22
50447.0,0,54,in_relationship,Graduate,3,0,8,116
53537.0,0,65,in_relationship,Postgraduate,3,0,8,87
52074.0,0,57,single,Graduate,1,1,7,71
80427.0,0,49,in_relationship,Postgraduate,2,0,28,1669
83837.0,1,76,in_relationship,Postgraduate,1,1,25,1032
38853.0,0,54,in_relationship,Postgraduate,3,0,7,43
38285.0,0,65,in_relationship,Graduate,4,0,4,7
78497.0,0,73,in_relationship,Undergraduate,1,1,25,680
51650.0,0,48,in_relationship,Postgraduate,2,0,10,177
16248.0,0,36,in_relationship,Undergraduate,2,0,9,33
66835.0,0,78,in_relationship,Postgraduate,1,0,24,841
30477.0,0,40,in_relationship,Postgraduate,2,0,6,54
28249.0,0,63,in_relationship,Undergraduate,1,0,6,17
25271.0,0,41,in_relationship,Graduate,2,0,5,29
32303.0,0,54,single,Postgraduate,1,0,7,37
61286.0,0,58,in_relationship,Graduate,2,0,18,463
74068.0,0,48,in_relationship,Graduate,1,0,24,1350
45759.0,0,60,in_relationship,Postgraduate,3,0,7,61
24882.0,0,46,in_relationship,Undergraduate,2,1,5,15
66973.0,0,35,in_relationship,Postgraduate,1,0,28,920
36640.0,0,124,single,Undergraduate,1,0,6,29
38872.0,0,36,in_relationship,Graduate,2,0,8,47
51148.0,0,51,in_relationship,Graduate,3,0,16,286
31353.0,0,47,in_relationship,Graduate,3,0,6,20
69661.0,0,44,in_relationship,Postgraduate,1,0,23,778
80067.0,0,70,in_relationship,Graduate,1,0,17,1349
86718.0,0,70,in_relationship,Graduate,1,0,17,1015
46854.0,1,51,single,Postgraduate,2,1,15,176
69142.0,0,72,single,Graduate,1,0,19,486
75922.0,0,56,single,Graduate,0,0,18,956
63693.0,0,46,single,Graduate,1,0,29,967
102160.0,1,47,in_relationship,Postgraduate,1,1,26,930
40637.0,0,59,single,Postgraduate,2,0,6,35
18890.0,1,40,single,Postgraduate,0,1,4,11
29604.0,0,36,in_relationship,Graduate,2,1,5,26
48721.0,0,61,single,Postgraduate,2,0,17,212
44794.0,0,58,in_relationship,Graduate,2,0,6,61
64497.0,1,70,single,Graduate,1,1,29,1538
46097.0,0,68,in_relationship,Graduate,2,0,15,164
77972.0,0,70,in_relationship,Graduate,1,0,20,954
44377.0,0,56,in_relationship,Postgraduate,3,0,19,254
46014.0,0,50,in_relationship,Postgraduate,3,0,26,469
70951.0,0,39,in_relationship,Graduate,1,0,17,803
41443.0,0,47,in_relationship,Graduate,2,0,20,349
52195.0,0,46,single,Undergraduate,3,0,4,16
83790.0,0,76,in_relationship,Postgraduate,1,0,25,1509
44551.0,0,70,single,Postgraduate,1,0,12,219
69508.0,0,44,in_relationship,Graduate,2,0,28,1018
45204.0,0,36,in_relationship,Undergraduate,2,0,7,66
72460.0,0,55,in_relationship,Graduate,1,0,16,927
77622.0,0,54,in_relationship,Postgraduate,3,0,22,681
30732.0,0,44,in_relationship,Postgraduate,2,0,13,181
63887.0,0,62,single,Graduate,1,0,32,1127
42011.0,0,46,in_relationship,Graduate,2,0,12,147
51369.0,0,48,in_relationship,Graduate,2,0,16,383
51537.0,0,72,single,Graduate,1,0,18,1011
79930.0,0,52,in_relationship,Postgraduate,1,0,17,1618
34320.0,0,38,in_relationship,Postgraduate,2,0,4,14
37070.0,1,58,single,Graduate,2,0,23,375
81975.0,0,62,single,Undergraduate,1,0,14,1243
38590.0,0,53,in_relationship,Graduate,2,0,4,12
15033.0,0,73,single,Graduate,0,0,5,9
62745.0,0,59,in_relationship,Postgraduate,2,0,29,1047
22212.0,0,49,in_relationship,Undergraduate,2,0,8,34
23661.0,0,42,in_relationship,Postgraduate,2,0,5,22
79761.0,0,66,single,Postgraduate,1,0,19,544
7500.0,0,51,single,Graduate,1,0,11,18
60182.0,0,131,single,Undergraduate,1,0,4,13
73455.0,0,56,single,Graduate,0,0,22,1719
64961.0,0,66,in_relationship,Graduate,2,0,16,772
22804.0,0,53,single,Graduate,1,0,5,22
73687.0,1,34,in_relationship,Graduate,1,1,22,1215
61074.0,0,66,in_relationship,Graduate,2,0,31,922
31686.0,0,60,in_relationship,Postgraduate,3,0,6,16
80134.0,1,52,in_relationship,Graduate,2,1,16,1506
75027.0,0,71,in_relationship,Graduate,2,0,21,1168
67546.0,0,36,in_relationship,Postgraduate,1,0,20,1766
65176.0,0,55,in_relationship,Postgraduate,2,0,25,1171
31160.0,0,49,single,Postgraduate,1,0,7,44
29938.0,0,39,single,Graduate,1,0,6,13
102692.0,1,50,single,Graduate,0,2,29,760
26490.0,0,66,in_relationship,Undergraduate,1,0,11,144
75702.0,0,57,in_relationship,Graduate,3,0,26,1031
30899.0,0,50,single,Postgraduate,1,0,6,32
63342.0,0,63,in_relationship,Postgraduate,2,0,19,1057
45989.0,0,60,single,Graduate,1,0,16,258
18701.0,0,60,single,Graduate,2,0,10,18
40737.0,0,67,single,Postgraduate,3,0,4,15
15287.0,1,45,single,Graduate,1,1,6,11
69674.0,0,56,single,Postgraduate,2,0,25,810
44159.0,0,54,in_relationship,Postgraduate,2,0,15,231
37717.0,0,46,in_relationship,Postgraduate,2,0,4,15
43776.0,1,72,in_relationship,Postgraduate,3,0,17,250
38179.0,0,58,in_relationship,Postgraduate,3,0,11,64
80124.0,0,61,in_relationship,Graduate,1,1,19,965
38097.0,1,54,in_relationship,Postgraduate,3,1,11,114
72940.0,0,54,in_relationship,Graduate,1,0,13,554
22070.0,0,54,in_relationship,Graduate,2,0,8,36
69267.0,1,71,single,Graduate,0,0,14,1321
31788.0,0,41,single,Postgraduate,1,0,10,46
61905.0,0,49,in_relationship,Postgraduate,2,0,12,210
29315.0,0,64,in_relationship,Graduate,3,0,10,29
33378.0,0,61,single,Graduate,2,0,9,79
66313.0,0,61,in_relationship,Postgraduate,2,0,23,731
60714.0,1,68,single,Graduate,0,0,23,602
77882.0,0,43,in_relationship,Postgraduate,1,0,12,593
69867.0,1,38,single,Postgraduate,0,1,17,708
63841.0,0,56,single,Postgraduate,1,0,22,750
24480.0,0,43,in_relationship,Undergraduate,2,0,10,32
51369.0,0,48,in_relationship,Graduate,2,0,16,383
37760.0,0,78,in_relationship,Graduate,1,0,13,127
65640.0,0,50,in_relationship,Postgraduate,2,0,15,360
44319.0,0,49,in_relationship,Postgraduate,3,0,7,34
30631.0,0,50,in_relationship,Graduate,2,0,7,41
75278.0,0,72,in_relationship,Graduate,1,0,23,632
50898.0,0,68,in_relationship,Postgraduate,3,0,33,555
79946.0,0,58,single,Graduate,0,0,22,1143
35416.0,0,75,single,Postgraduate,0,0,16,332
32414.0,0,40,in_relationship,Undergraduate,1,1,5,31
38361.0,0,55,in_relationship,Graduate,2,0,10,95
82497.0,0,44,in_relationship,Graduate,1,0,19,1479
16626.0,0,53,in_relationship,Graduate,3,0,9,33
29672.0,0,59,in_relationship,Graduate,3,0,4,13
55951.0,0,72,in_relationship,Postgraduate,2,1,23,1321
35388.0,0,36,single,Undergraduate,1,0,5,17
42386.0,0,38,in_relationship,Postgraduate,2,0,7,85
68627.0,0,42,single,Graduate,0,0,12,673
57912.0,0,59,single,Postgraduate,1,0,28,881
35246.0,0,66,single,Graduate,2,0,11,48
58821.0,0,68,in_relationship,Undergraduate,2,0,21,681
46377.0,0,46,in_relationship,Postgraduate,2,0,7,83
39747.0,0,36,single,Graduate,1,0,13,188
23976.0,0,40,in_relationship,Graduate,2,0,10,36
80950.0,0,63,in_relationship,Postgraduate,1,1,23,784
27038.0,1,58,single,Graduate,0,0,7,52
77457.0,0,77,single,Graduate,0,0,18,1086
64100.0,0,60,in_relationship,Postgraduate,2,0,18,536
42670.0,0,32,in_relationship,Postgraduate,1,0,11,202
12571.0,0,48,single,Graduate,1,0,11,22
22574.0,0,57,in_relationship,Graduate,4,0,7,33
70893.0,0,48,single,Postgraduate,0,0,23,1373
54198.0,0,58,in_relationship,Graduate,3,0,16,213
28839.0,0,68,in_relationship,Postgraduate,3,0,7,31
40321.0,0,52,in_relationship,Graduate,3,0,8,69
66503.0,0,39,single,Graduate,1,0,15,283
30833.0,0,73,in_relationship,Graduate,3,0,6,18
64795.0,0,53,in_relationship,Graduate,2,0,21,536
34421.0,0,50,in_relationship,Graduate,2,0,4,13
47025.0,0,59,single,Postgraduate,2,0,4,19
64325.0,0,63,single,Postgraduate,1,0,23,1144
40464.0,0,71,single,Graduate,1,0,24,559
62187.0,0,67,in_relationship,Graduate,1,0,18,1067
14849.0,0,48,single,Postgraduate,1,0,9,51
27255.0,0,40,in_relationship,Graduate,2,0,5,34
54432.0,0,74,in_relationship,Postgraduate,4,0,5,38
29999.0,0,38,single,Postgraduate,1,0,12,134
24072.0,0,41,single,Graduate,1,0,4,16
33996.0,0,35,single,Postgraduate,0,0,6,57
66334.0,1,68,in_relationship,Postgraduate,2,0,19,1138
35178.0,1,53,in_relationship,Postgraduate,2,1,5,37
22010.0,0,41,in_relationship,Graduate,2,0,7,22
62204.0,0,64,single,Graduate,2,0,22,610
75693.0,1,56,single,Graduate,0,1,22,1243
30675.0,0,52,in_relationship,Graduate,2,0,5,28
83003.0,1,59,in_relationship,Graduate,1,0,22,1487
83532.0,0,125,in_relationship,Postgraduate,1,0,15,1461
68655.0,0,36,single,Graduate,0,0,21,1307
41411.0,0,38,single,Graduate,0,0,8,107
55212.0,0,55,in_relationship,Postgraduate,2,1,20,1148
59292.0,0,74,in_relationship,Postgraduate,2,0,18,460
27190.0,1,51,in_relationship,Undergraduate,2,1,4,14
82623.0,0,72,single,Graduate,0,0,16,442
44300.0,0,59,in_relationship,Graduate,3,0,6,39
84835.0,1,54,single,Graduate,0,0,15,672
30372.0,0,53,single,Graduate,2,0,8,27
33181.0,0,48,in_relationship,Postgraduate,2,1,4,12
71113.0,0,67,in_relationship,Graduate,2,0,26,783
71952.0,0,38,in_relationship,Graduate,2,1,22,1191
69759.0,1,58,single,Postgraduate,0,0,18,986
72099.0,0,50,in_relationship,Graduate,1,0,18,1047
60000.0,0,48,single,Postgraduate,1,0,24,1265
38643.0,0,46,single,Graduate,2,0,7,38
50737.0,0,69,in_relationship,Graduate,2,0,7,89
68462.0,0,55,in_relationship,Postgraduate,1,0,15,1410
65073.0,0,81,in_relationship,Postgraduate,1,0,14,823
46681.0,0,76,in_relationship,Postgraduate,3,0,16,353
78618.0,0,67,in_relationship,Graduate,1,0,22,1717
62187.0,0,55,single,Postgraduate,1,0,21,595
28442.0,0,46,in_relationship,Graduate,3,0,10,32
37717.0,0,46,in_relationship,Postgraduate,2,0,4,15
51479.0,0,57,in_relationship,Graduate,3,0,22,415
54803.0,0,55,single,Graduate,1,0,19,496
79530.0,0,64,in_relationship,Graduate,1,0,26,1148
31615.0,0,48,single,Graduate,1,0,7,25
72025.0,0,62,in_relationship,Graduate,1,0,16,1415
52614.0,0,49,single,Postgraduate,1,0,16,931
35684.0,0,40,in_relationship,Undergraduate,2,0,5,21
48178.0,0,49,in_relationship,Graduate,3,0,16,208
29548.0,0,54,single,Postgraduate,1,1,5,14
63810.0,0,58,single,Graduate,1,0,23,1242
38578.0,1,52,single,Postgraduate,2,0,9,64
46098.0,0,49,single,Postgraduate,2,0,11,84
22585.0,1,54,single,Graduate,0,1,5,27
30279.0,0,35,single,Graduate,1,0,5,28
66426.0,0,63,in_relationship,Postgraduate,2,0,20,1164
30822.0,0,55,single,Graduate,1,0,5,25
33581.0,0,55,in_relationship,Postgraduate,3,0,4,16
19986.0,0,39,in_relationship,Graduate,2,0,4,14
27421.0,0,70,single,Graduate,0,0,14,151
35688.0,0,51,in_relationship,Undergraduate,4,0,16,166
36143.0,0,43,single,Postgraduate,1,0,4,13
10245.0,0,53,single,Graduate,1,0,8,18
43795.0,1,56,in_relationship,Postgraduate,2,0,17,378
63381.0,0,64,in_relationship,Graduate,2,0,26,763
38823.0,0,75,in_relationship,Graduate,2,0,7,81
83664.0,0,56,single,Postgraduate,2,0,19,1038
90300.0,0,45,in_relationship,Graduate,1,0,19,1514
62499.0,0,45,in_relationship,Postgraduate,2,0,12,205
74293.0,0,31,single,Graduate,0,0,16,862
51012.0,0,78,in_relationship,Postgraduate,1,0,10,174
70777.0,0,56,in_relationship,Postgraduate,2,0,23,702
68682.0,0,33,in_relationship,Postgraduate,1,0,24,1424
43824.0,0,53,in_relationship,Graduate,3,0,12,139
15345.0,1,40,in_relationship,Graduate,2,0,6,23
23442.0,0,37,single,Graduate,1,0,5,8
14515.0,1,44,in_relationship,Undergraduate,2,0,11,19
31395.0,0,68,single,Undergraduate,2,0,10,49
75276.0,0,59,in_relationship,Graduate,1,0,23,840
42373.0,0,50,single,Graduate,2,0,13,133
30507.0,0,64,in_relationship,Graduate,1,0,11,175
55521.0,1,69,single,Postgraduate,3,0,24,442
48006.0,0,59,in_relationship,Graduate,3,0,5,34
27213.0,1,52,single,Postgraduate,1,0,9,48
65808.0,0,53,single,Postgraduate,2,0,14,242
30351.0,0,50,in_relationship,Postgraduate,2,0,6,38
50437.0,0,61,in_relationship,Graduate,3,0,19,471
23616.0,1,42,single,Undergraduate,1,0,8,37
53858.0,0,48,in_relationship,Graduate,2,0,17,681
66465.0,0,69,in_relationship,Postgraduate,2,1,35,1404
46923.0,0,37,single,Graduate,1,0,16,183
75072.0,0,62,in_relationship,Graduate,2,0,19,926
75865.0,0,81,in_relationship,Postgraduate,1,0,19,1074
19789.0,0,49,in_relationship,Undergraduate,2,1,9,16
80134.0,0,30,in_relationship,Graduate,1,2,21,1274
91065.0,1,43,single,Graduate,0,1,26,1044
49505.0,0,53,in_relationship,Postgraduate,3,0,29,704
37401.0,0,51,in_relationship,Postgraduate,2,0,7,41
30096.0,0,41,in_relationship,Graduate,2,0,6,19
18492.0,0,42,in_relationship,Postgraduate,2,0,4,6
82584.0,1,50,in_relationship,Postgraduate,1,0,16,1247
93027.0,0,83,in_relationship,Postgraduate,1,0,22,2043
48686.0,0,71,in_relationship,Graduate,4,0,4,17
92910.0,0,38,in_relationship,Graduate,1,1,27,1480
75433.0,0,35,in_relationship,Graduate,2,1,19,1097
10404.0,0,35,in_relationship,Undergraduate,2,0,7,15
61314.0,0,56,in_relationship,Graduate,2,0,24,567
84865.0,1,63,single,Postgraduate,0,2,16,1613
42387.0,0,35,in_relationship,Graduate,2,0,21,470
67309.0,0,57,in_relationship,Undergraduate,3,0,39,743
75236.0,0,60,in_relationship,Graduate,2,0,25,904
30015.0,0,54,single,Graduate,1,0,7,47
50943.0,0,68,in_relationship,Postgraduate,2,0,5,38
67272.0,0,58,single,Graduate,1,0,23,663
51529.0,0,75,single,Postgraduate,1,0,17,439
32011.0,0,53,in_relationship,Postgraduate,2,0,10,114
7500.0,0,38,in_relationship,Undergraduate,2,0,7,17
28691.0,0,35,in_relationship,Graduate,2,0,5,22
56223.0,0,76,in_relationship,Postgraduate,2,0,10,136
18100.0,0,78,in_relationship,Graduate,1,0,4,6
30279.0,0,35,single,Graduate,1,0,5,28
20130.0,0,50,in_relationship,Undergraduate,1,0,5,9
23295.0,0,65,single,Graduate,0,0,4,1
42618.0,0,52,single,Postgraduate,1,0,11,164
81246.0,0,60,single,Graduate,0,2,17,1125
24027.0,0,48,in_relationship,Graduate,2,0,7,32
55707.0,0,71,in_relationship,Postgraduate,2,0,16,297
57959.0,0,69,single,Graduate,1,0,27,768
56796.0,0,55,in_relationship,Graduate,2,0,27,855
36230.0,0,53,single,Postgraduate,1,0,7,46
70829.0,0,44,in_relationship,Undergraduate,3,0,16,317
65991.0,0,48,in_relationship,Graduate,2,0,27,890
38988.0,0,52,in_relationship,Graduate,4,0,19,291
89572.0,1,58,single,Undergraduate,0,1,24,1604
42207.0,1,40,in_relationship,Postgraduate,2,1,14,199
50300.0,0,72,in_relationship,Graduate,2,0,13,218
66664.0,0,42,in_relationship,Undergraduate,1,0,19,941
60597.0,1,60,in_relationship,Graduate,2,1,16,779
70165.0,0,75,single,Graduate,0,0,22,414
50520.0,0,66,single,Postgraduate,1,0,9,118
80124.0,0,61,in_relationship,Graduate,1,1,19,965
33183.0,0,49,in_relationship,Graduate,2,0,9,51
66582.0,0,55,single,Postgraduate,0,0,20,1234
75261.0,1,69,in_relationship,Postgraduate,1,0,17,1669
31880.0,0,54,single,Graduate,1,0,4,10
53790.0,0,73,in_relationship,Graduate,3,0,20,504
49269.0,0,53,in_relationship,Postgraduate,2,0,25,813
61456.0,0,49,in_relationship,Graduate,2,0,33,1023
37406.0,1,44,in_relationship,Graduate,2,0,4,10
56937.0,1,43,in_relationship,Postgraduate,2,0,30,879
38415.0,0,46,in_relationship,Graduate,3,0,6,36
20518.0,0,36,single,Graduate,1,0,5,11
62503.0,0,68,in_relationship,Graduate,2,0,26,671
41644.0,0,52,single,Postgraduate,2,0,6,27
55842.0,0,47,in_relationship,Postgraduate,2,0,17,490
62010.0,0,52,in_relationship,Postgraduate,2,0,19,432
41124.0,0,47,in_relationship,Graduate,2,0,21,372
38961.0,0,51,in_relationship,Postgraduate,2,0,6,45
37760.0,0,52,single,Postgraduate,1,0,6,42
32233.0,1,50,single,Graduate,1,1,12,188
43057.0,0,49,in_relationship,Graduate,2,0,15,259
83151.0,0,64,in_relationship,Postgraduate,1,0,19,535
78825.0,1,60,single,Postgraduate,0,0,29,671
65104.0,0,48,in_relationship,Postgraduate,2,0,17,970
60093.0,0,50,in_relationship,Graduate,2,0,21,623
14045.0,0,55,in_relationship,Graduate,2,0,5,16
28457.0,0,72,single,Undergraduate,0,0,10,133
78952.0,0,66,in_relationship,Postgraduate,2,0,21,1783
46310.0,0,48,single,Graduate,1,0,14,275
76005.0,0,69,in_relationship,Graduate,1,1,22,1392
58308.0,0,60,single,Postgraduate,1,0,15,760
55614.0,0,80,single,Postgraduate,0,0,20,648
59432.0,0,62,single,Postgraduate,1,0,22,607
55563.0,0,46,single,Graduate,1,0,6,39
78642.0,0,53,in_relationship,Postgraduate,2,0,18,1718
67911.0,0,75,in_relationship,Postgraduate,2,0,27,885
65275.0,0,80,in_relationship,Graduate,1,0,21,620
27203.0,0,74,in_relationship,Graduate,3,0,6,36
48330.0,0,63,in_relationship,Postgraduate,2,0,5,32
24279.0,0,34,in_relationship,Undergraduate,1,0,9,73
64355.0,0,39,in_relationship,Postgraduate,2,0,21,1187
50943.0,0,68,in_relationship,Postgraduate,2,0,5,38
53653.0,0,71,single,Graduate,0,0,28,1064
65665.0,0,48,in_relationship,Graduate,2,0,24,774
81217.0,0,35,single,Graduate,0,0,22,887
34935.0,0,32,in_relationship,Graduate,1,0,8,104
61250.0,0,65,single,Graduate,1,0,25,585
39665.0,0,43,in_relationship,Postgraduate,2,1,12,184
60152.0,0,45,single,Graduate,1,0,23,708
48920.0,0,60,in_relationship,Graduate,3,0,16,323
89120.0,0,65,in_relationship,Postgraduate,1,0,19,1668
